Molecular Weight,XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area,Heavy atom count,Complexity,LogS,DOSE,Weight(mg),Bulk Density,Tapped Density,Carrs Compressibility Index,Hausner Ratio,Angle of Repose,Thickness,Wetting time,Microcrystalline Cellulose,Mannitol,Magnesium Stearate,Talc,Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,HARDNESS,FRIABILITY,Drug content,Water absorption ratio,DISINTEGRATION_TIME
330.74,2,3,7,5,131,21,481,-3.57,80,400,0.37,0.49,24.1,1.31,41.9,3.4,12,246.4,0,0,0,0,4,61.6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0.4,0,1.96,15
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.26,48,62,0,2,3,0,1,0,0,0,0,0,0,6,0,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.75,98.2,0,32
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.28,42,62,0,2,3,6,1,0,0,0,0,0,0,0,0,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.59,100.1,0,30
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.18,45,62,0,2,3,0,1,0,0,0,0,0,0,0,6,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.48,99.4,0,34
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.24,56,62,5.4,2,3,0,1,0,0,0,0,0,0,0.3,0,0.3,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.49,97.3,0,46
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.24,35,59,0,2,3,0,1,0,0,0,0,0,0,12,0,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.45,100.1,0,23
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.27,32,59,0,2,3,12,1,0,0,0,0,0,0,0,0,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.53,99.9,0,21
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.28,38,59,0,2,3,0,1,0,0,0,0,0,0,0,12,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.63,99.2,0,26
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.17,49,59,10.8,2,3,0,1,0,0,0,0,0,0,0.6,0,0.6,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.55,98.1,0,39
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.26,22,56,0,2,3,0,1,0,0,0,0,0,0,18,0,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.64,99.7,0,19
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.32,20,56,0,2,3,18,1,0,0,0,0,0,0,0,0,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.57,99.9,0,15
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.31,28,56,0,2,3,0,1,0,0,0,0,0,0,0,18,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.51,100.1,0,20
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.16,42,56,16.2,2,3,0,1,0,0,0,0,0,0,0.9,0,0.9,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.64,97.2,0,20
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.16,21,53,0,2,3,0,1,0,0,0,0,0,0,24,0,0,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.54,100.1,0,14
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.18,18,53,0,2,3,24,1,0,0,0,0,0,0,0,0,0,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.65,99.6,0,9
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.22,25,53,0,2,3,0,1,0,0,0,0,0,0,0,24,0,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.54,99.3,0,16
358.8,3.3,0,4,3,68.3,24,514,-5.68,60,200,0,0,0,0,0,3.19,36,53,21.6,2,3,0,1,0,0,0,0,0,0,1.2,0,1.2,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.63,98.7,0,22
